player_id,matches,innings,NO,runs,BF,Ave,SR,50s,100s,Ct,St,Bowl_innings,balls,runs_given,wkts,Ave,Eco,SR
24230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
585100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
568136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
378496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1126253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
670031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
638713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
557295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
429738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
