Sri Lanka,Zimbabwe,Zimbabwe,3 wickets,Hambantota,Jul 10,http://stats.espncricinfo.com/ci/engine/match/1104482.html
Sri Lanka,India,India,9 wickets,Dambulla,Aug 20,http://stats.espncricinfo.com/ci/engine/match/1109605.html
Sri Lanka,India,India,3 wickets,Pallekele,Aug 24,http://stats.espncricinfo.com/ci/engine/match/1109606.html
Sri Lanka,India,India,6 wickets,Pallekele,Aug 27,http://stats.espncricinfo.com/ci/engine/match/1109607.html
Sri Lanka,India,India,168 runs,Colombo (RPS),Aug 31,http://stats.espncricinfo.com/ci/engine/match/1109608.html
Sri Lanka,India,India,6 wickets,Colombo (RPS),Sep 3,http://stats.espncricinfo.com/ci/engine/match/1109609.html
India,Australia,India,26 runs,Chennai,Sep 17,http://stats.espncricinfo.com/ci/engine/match/1119496.html
England,West Indies,England,7 wickets,Manchester,Sep 19,http://stats.espncricinfo.com/ci/engine/match/1031667.html
India,Australia,India,50 runs,Kolkata,Sep 21,http://stats.espncricinfo.com/ci/engine/match/1119497.html
England,West Indies,no result, ,Nottingham,Sep 21,http://stats.espncricinfo.com/ci/engine/match/1031669.html
India,Australia,India,5 wickets,Indore,Sep 24,http://stats.espncricinfo.com/ci/engine/match/1119498.html
England,West Indies,England,124 runs,Bristol,Sep 24,http://stats.espncricinfo.com/ci/engine/match/1031671.html
England,West Indies,England,6 runs,The Oval,Sep 27,http://stats.espncricinfo.com/ci/engine/match/1031673.html
India,Australia,Australia,21 runs,Bengaluru,Sep 28,http://stats.espncricinfo.com/ci/engine/match/1119499.html
England,West Indies,England,9 wickets,Southampton,Sep 29,http://stats.espncricinfo.com/ci/engine/match/1031675.html
India,Australia,India,7 wickets,Nagpur,Oct 1,http://stats.espncricinfo.com/ci/engine/match/1119500.html
P.N.G.,Scotland,Scotland,101 runs,Port Moresby,Oct 6,http://stats.espncricinfo.com/ci/engine/match/1105005.html
P.N.G.,Scotland,P.N.G.,5 wickets,Port Moresby,Oct 8,http://stats.espncricinfo.com/ci/engine/match/1105006.html
Pakistan,Sri Lanka,Pakistan,83 runs,Dubai (DSC),Oct 13,http://stats.espncricinfo.com/ci/engine/match/1120286.html
South Africa,Bangladesh,South Africa,10 wickets,Kimberley,Oct 15,http://stats.espncricinfo.com/ci/engine/match/1075504.html
Pakistan,Sri Lanka,Pakistan,32 runs,Abu Dhabi,Oct 16,http://stats.espncricinfo.com/ci/engine/match/1120287.html
South Africa,Bangladesh,South Africa,104 runs,Paarl,Oct 18,http://stats.espncricinfo.com/ci/engine/match/1075505.html
Pakistan,Sri Lanka,Pakistan,7 wickets,Abu Dhabi,Oct 18,http://stats.espncricinfo.com/ci/engine/match/1120288.html
Pakistan,Sri Lanka,Pakistan,7 wickets,Sharjah,Oct 20,http://stats.espncricinfo.com/ci/engine/match/1120289.html
India,New Zealand,New Zealand,6 wickets,Mumbai,Oct 22,http://stats.espncricinfo.com/ci/engine/match/1120090.html
