Bangladesh,Ireland,Bangladesh,8 wickets,Dhaka,Mar 18,http://stats.espncricinfo.com/ci/engine/match/335633.html
Bangladesh,Ireland,Bangladesh,84 runs,Dhaka,Mar 20,http://stats.espncricinfo.com/ci/engine/match/335634.html
Bangladesh,Ireland,Bangladesh,79 runs,Dhaka,Mar 22,http://stats.espncricinfo.com/ci/engine/match/335635.html
Pakistan,Bangladesh,Pakistan,152 runs,Lahore,Apr 8,http://stats.espncricinfo.com/ci/engine/match/343759.html
West Indies,Sri Lanka,West Indies,1 wicket,Port of Spain,Apr 10,http://stats.espncricinfo.com/ci/engine/match/319134.html
Pakistan,Bangladesh,Pakistan,7 wickets,Faisalabad,Apr 11,http://stats.espncricinfo.com/ci/engine/match/343760.html
West Indies,Sri Lanka,West Indies,7 wickets,Port of Spain,Apr 12,http://stats.espncricinfo.com/ci/engine/match/319135.html
Pakistan,Bangladesh,Pakistan,23 runs,Lahore,Apr 13,http://stats.espncricinfo.com/ci/engine/match/343761.html
West Indies,Sri Lanka,no result, ,Gros Islet,Apr 15,http://stats.espncricinfo.com/ci/engine/match/319136.html
Pakistan,Bangladesh,Pakistan,7 wickets,Multan,Apr 16,http://stats.espncricinfo.com/ci/engine/match/343762.html
Pakistan,Bangladesh,Pakistan,150 runs,Karachi,Apr 19,http://stats.espncricinfo.com/ci/engine/match/343763.html
Bangladesh,Pakistan,Pakistan,70 runs,Dhaka,Jun 8,http://stats.espncricinfo.com/ci/engine/match/345468.html
India,Pakistan,India,140 runs,Dhaka,Jun 10,http://stats.espncricinfo.com/ci/engine/match/345469.html
Bangladesh,India,India,7 wickets,Dhaka,Jun 12,http://stats.espncricinfo.com/ci/engine/match/345470.html
India,Pakistan,Pakistan,25 runs,Dhaka,Jun 14,http://stats.espncricinfo.com/ci/engine/match/345471.html
England,New Zealand,England,114 runs,Chester-le-Street,Jun 15,http://stats.espncricinfo.com/ci/engine/match/296904.html
England,New Zealand,no result, ,Birmingham,Jun 18,http://stats.espncricinfo.com/ci/engine/match/296905.html
England,New Zealand,New Zealand,22 runs,Bristol,Jun 21,http://stats.espncricinfo.com/ci/engine/match/296906.html
Bangladesh,U.A.E.,Bangladesh,96 runs,Lahore,Jun 24,http://stats.espncricinfo.com/ci/engine/match/335346.html
Pakistan,Hong Kong,Pakistan,155 runs,Karachi,Jun 24,http://stats.espncricinfo.com/ci/engine/match/335347.html
West Indies,Australia,Australia,84 runs,Kingstown,Jun 24,http://stats.espncricinfo.com/ci/engine/match/319143.html
Bangladesh,Sri Lanka,Sri Lanka,131 runs,Lahore,Jun 25,http://stats.espncricinfo.com/ci/engine/match/335348.html
Hong Kong,India,India,256 runs,Karachi,Jun 25,http://stats.espncricinfo.com/ci/engine/match/335349.html
England,New Zealand,New Zealand,1 wicket,The Oval,Jun 25,http://stats.espncricinfo.com/ci/engine/match/296907.html
Pakistan,India,India,6 wickets,Karachi,Jun 26,http://stats.espncricinfo.com/ci/engine/match/335351.html
Sri Lanka,U.A.E.,Sri Lanka,142 runs,Lahore,Jun 26,http://stats.espncricinfo.com/ci/engine/match/335350.html
West Indies,Australia,Australia,63 runs,St George's,Jun 27,http://stats.espncricinfo.com/ci/engine/match/319144.html
England,New Zealand,New Zealand,51 runs,Lord's,Jun 28,http://stats.espncricinfo.com/ci/engine/match/296908.html
