Team1:Ireland,Team2:Bangladesh,Winner:no result,Margin: ,Ground:Dublin (Malahide),Match Date:May 12, 2017,Scorecard Link:/ci/engine/match/1033361.html
Team1:Ireland,Team2:New Zealand,Winner:New Zealand,Margin:51 runs,Ground:Dublin (Malahide),Match Date:May 14, 2017,Scorecard Link:/ci/engine/match/1033363.html
Team1:Bangladesh,Team2:New Zealand,Winner:New Zealand,Margin:4 wickets,Ground:Dublin,Match Date:May 17, 2017,Scorecard Link:/ci/engine/match/1033365.html
Team1:Ireland,Team2:Bangladesh,Winner:Bangladesh,Margin:8 wickets,Ground:Dublin (Malahide),Match Date:May 19, 2017,Scorecard Link:/ci/engine/match/1033367.html
Team1:Ireland,Team2:New Zealand,Winner:New Zealand,Margin:190 runs,Ground:Dublin (Malahide),Match Date:May 21, 2017,Scorecard Link:/ci/engine/match/1033369.html
Team1:Bangladesh,Team2:New Zealand,Winner:Bangladesh,Margin:5 wickets,Ground:Dublin,Match Date:May 24, 2017,Scorecard Link:/ci/engine/match/1033371.html
Team1:England,Team2:South Africa,Winner:England,Margin:72 runs,Ground:Leeds,Match Date:May 24, 2017,Scorecard Link:/ci/engine/match/1031425.html
Team1:England,Team2:South Africa,Winner:England,Margin:2 runs,Ground:Southampton,Match Date:May 27, 2017,Scorecard Link:/ci/engine/match/1031427.html
Team1:England,Team2:South Africa,Winner:South Africa,Margin:7 wickets,Ground:Lord's,Match Date:May 29, 2017,Scorecard Link:/ci/engine/match/1031429.html
Team1:England,Team2:Bangladesh,Winner:England,Margin:8 wickets,Ground:The Oval,Match Date:Jun 1, 2017,Scorecard Link:/ci/engine/match/1022347.html
Team1:Australia,Team2:New Zealand,Winner:no result,Margin: ,Ground:Birmingham,Match Date:Jun 2, 2017,Scorecard Link:/ci/engine/match/1022349.html
Team1:South Africa,Team2:Sri Lanka,Winner:South Africa,Margin:96 runs,Ground:The Oval,Match Date:Jun 3, 2017,Scorecard Link:/ci/engine/match/1022351.html
Team1:India,Team2:Pakistan,Winner:India,Margin:124 runs,Ground:Birmingham,Match Date:Jun 4, 2017,Scorecard Link:/ci/engine/match/1022353.html
Team1:Australia,Team2:Bangladesh,Winner:no result,Margin: ,Ground:The Oval,Match Date:Jun 5, 2017,Scorecard Link:/ci/engine/match/1022355.html
Team1:England,Team2:New Zealand,Winner:England,Margin:87 runs,Ground:Cardiff,Match Date:Jun 6, 2017,Scorecard Link:/ci/engine/match/1022357.html
Team1:Pakistan,Team2:South Africa,Winner:Pakistan,Margin:19 runs,Ground:Birmingham,Match Date:Jun 7, 2017,Scorecard Link:/ci/engine/match/1022359.html
Team1:India,Team2:Sri Lanka,Winner:Sri Lanka,Margin:7 wickets,Ground:The Oval,Match Date:Jun 8, 2017,Scorecard Link:/ci/engine/match/1022361.html
Team1:Bangladesh,Team2:New Zealand,Winner:Bangladesh,Margin:5 wickets,Ground:Cardiff,Match Date:Jun 9, 2017,Scorecard Link:/ci/engine/match/1022363.html
Team1:West Indies,Team2:Afghanistan,Winner:Afghanistan,Margin:63 runs,Ground:Gros Islet,Match Date:Jun 9, 2017,Scorecard Link:/ci/engine/match/1089779.html
