India,Sri Lanka,Sri Lanka,5 wickets,Ahmedabad,Nov 6,http://stats.espncricinfo.com/ci/engine/match/224231.html
India,Sri Lanka,India,7 wickets,Rajkot,Nov 9,http://stats.espncricinfo.com/ci/engine/match/224556.html
India,Sri Lanka,India,5 wickets,Vadodara,Nov 12,http://stats.espncricinfo.com/ci/engine/match/225437.html
India,South Africa,South Africa,5 wickets,Hyderabad (Deccan),Nov 16,http://stats.espncricinfo.com/ci/engine/match/225959.html
India,South Africa,India,6 wickets,Bengaluru,Nov 19,http://stats.espncricinfo.com/ci/engine/match/226315.html
India,South Africa,South Africa,10 wickets,Kolkata,Nov 25,http://stats.espncricinfo.com/ci/engine/match/226358.html
India,South Africa,India,5 wickets,Mumbai,Nov 28,http://stats.espncricinfo.com/ci/engine/match/226359.html
New Zealand,Australia,Australia,147 runs,Auckland,Dec 3,http://stats.espncricinfo.com/ci/engine/match/226364.html
New Zealand,Australia,Australia,2 runs,Wellington,Dec 7,http://stats.espncricinfo.com/ci/engine/match/226365.html
New Zealand,Australia,New Zealand,2 wickets,Christchurch,Dec 10,http://stats.espncricinfo.com/ci/engine/match/226366.html
Pakistan,England,England,42 runs,Lahore,Dec 10,http://stats.espncricinfo.com/ci/engine/match/226352.html
Pakistan,England,Pakistan,7 wickets,Lahore,Dec 12,http://stats.espncricinfo.com/ci/engine/match/226353.html
Pakistan,England,Pakistan,165 runs,Karachi,Dec 15,http://stats.espncricinfo.com/ci/engine/match/226354.html
Pakistan,England,Pakistan,13 runs,Rawalpindi,Dec 19,http://stats.espncricinfo.com/ci/engine/match/226355.html
Pakistan,England,England,6 runs,Rawalpindi,Dec 21,http://stats.espncricinfo.com/ci/engine/match/226356.html
New Zealand,Sri Lanka,New Zealand,7 wickets,Queenstown,Dec 31,http://stats.espncricinfo.com/ci/engine/match/226390.html
